2	3	105877
19	7	278810
12	0	480112
10	17	83975
1	2	583242
9	6	809575
20	21	642597
17	3	944034
8	23	60932
25	15	414502
15	26	76922
19	17	915621
14	25	885691
23	7	454149
26	1	315863
23	7	625898
19	16	268623
24	19	305655
15	19	281003
9	23	568144
6	1	954470
18	19	863884
5	0	92858
25	18	679497
21	9	738225
16	6	810552
19	20	296555
16	3	152811
11	16	483660
11	7	797488
2	4	324842
20	0	682202
7	6	107812
2	24	842064
13	8	337249
12	1	183249
22	10	92874
19	12	986452
2	15	807648
23	22	973262
17	18	664127
9	1	721416
16	20	356208
22	6	590595
10	11	720587
18	7	758154
20	11	349835
24	4	658654
23	16	966969
22	4	488965
12	21	761616
1	24	718936
6	17	481257
6	19	864483
20	0	599601
8	10	507352
14	5	104814
12	19	496690
13	22	985357
15	3	943953
5	11	650325
14	5	485058
26	4	632203
7	22	19246
1	25	895172
12	14	867845
13	9	13871
8	0	814387
24	3	722966
3	24	599865
14	4	18469
6	23	172752
17	12	591867
20	15	654969
23	24	243138
4	7	853722
24	10	704176
4	8	201882
25	11	372664
10	11	632857
0	2	868282
10	12	774214
13	10	285441
0	23	424221
17	8	66575
12	16	42023
22	8	622775
8	9	430111
16	6	164239
18	9	58673
1	17	567360
16	5	289201
19	0	45010
5	6	876478
4	19	476988
23	8	381847
22	20	665041
11	4	996178
2	4	853133
17	25	777184
18	12	202824
19	18	419250
0	24	835922
7	5	781611
23	24	492875
12	19	8740
19	5	46321
17	15	687306
25	19	434398
9	11	445506
7	3	139889
3	4	120583
13	18	881573
20	25	317616
8	22	880442
19	16	327130
4	0	837314
25	21	776018
11	3	875248
7	17	854509
22	19	413459
16	20	772663
6	23	380974
3	10	335749
13	22	129251
25	19	79803
3	22	753620
4	23	507371
25	3	594757
3	14	188460
16	24	177932
5	6	182798
5	14	527468
0	1	704774
21	15	270532
2	0	598850
14	16	342798
12	5	36386
7	8	68896
0	18	483789
4	6	285477
7	16	10971
21	22	657765
10	26	198312
22	13	164999
23	26	579587
2	7	420186
7	20	534881
8	15	286261
1	0	880711
23	1	459453
1	14	98840
3	22	96350
2	1	772566
26	11	282592
21	3	701996
24	22	392148
26	21	403710
26	6	210735
21	7	897579
9	1	686886
20	7	508807
25	19	325827
12	9	567888
15	4	462195
17	7	900026
16	14	971489
1	15	496390
18	10	596378
2	14	53670
13	12	964622
11	7	973583
13	6	218677
12	23	780371
0	16	699453
26	19	782601
23	18	587221
22	15	740466
1	15	285127
21	19	358298
5	10	386053
7	23	915148
10	23	688770
3	26	532330
3	2	979248
21	15	268448
5	4	626049
